date,year,week,cases
1939-01-29,1939,5,4691
1939-02-05,1939,6,4319
1939-02-12,1939,7,8066
1939-02-19,1939,8,10664
1939-02-26,1939,9,16390
1939-03-05,1939,10,20276
1939-03-12,1939,11,17531
1939-03-19,1939,12,16140
1939-03-26,1939,13,14926
1939-04-02,1939,14,10380
1939-04-09,1939,15,6568
1939-04-16,1939,16,5503
1939-04-23,1939,17,3929
1939-04-30,1939,18,3231
1939-05-07,1939,19,2263
1939-05-14,1939,20,1956
1939-05-21,1939,21,996
1939-05-28,1939,22,862
1939-06-04,1939,23,910
1939-06-11,1939,24,686
1939-06-18,1939,25,482
1939-06-25,1939,26,443
1939-07-02,1939,27,316
1939-07-09,1939,28,509
1939-07-16,1939,29,348
1939-07-23,1939,30,248
1939-07-30,1939,31,285
1939-08-06,1939,32,316
1939-08-13,1939,33,395
1939-08-20,1939,34,392
1939-08-27,1939,35,309
1939-09-03,1939,36,551
1939-09-10,1939,37,430
1939-09-17,1939,38,507
1939-09-24,1939,39,519
1939-10-01,1939,40,541
1939-10-08,1939,41,687
1939-10-15,1939,42,852
1939-10-22,1939,43,972
1939-10-29,1939,44,1081
1939-11-05,1939,45,1238
1939-11-12,1939,46,1861
1939-11-19,1939,47,2170
1939-11-26,1939,48,2910
1939-12-03,1939,49,4539
1939-12-10,1939,50,6716
1939-12-17,1939,51,6266
1939-12-24,1939,52,7641
1940-01-07,1940,1,13707
1940-01-14,1940,2,13867
1940-01-21,1940,3,14685
1940-01-28,1940,4,18773
1940-02-04,1940,5,18043
1940-02-11,1940,6,17958
1940-02-18,1940,7,14713
1940-02-25,1940,8,12439
1940-03-03,1940,9,10188
1940-03-10,1940,10,7161
1940-03-17,1940,11,4793
1940-03-24,1940,12,4359
1940-03-31,1940,13,3630
1940-04-07,1940,14,3052
1940-04-14,1940,15,2379
1940-04-21,1940,16,1843
1940-04-28,1940,17,1645
1940-05-05,1940,18,1468
1940-05-12,1940,19,1082
1940-05-19,1940,20,926
1940-05-26,1940,21,673
1940-06-02,1940,22,808
1940-06-09,1940,23,495
1940-06-16,1940,24,433
1940-06-23,1940,25,442
1940-06-30,1940,26,331
1940-07-07,1940,27,364
1940-07-14,1940,28,252
1940-07-21,1940,29,465
1940-07-28,1940,30,395
1940-08-04,1940,31,489
1940-08-11,1940,32,448
1940-08-18,1940,33,403
1940-08-25,1940,34,427
1940-09-01,1940,35,494
1940-09-08,1940,36,483
1940-09-15,1940,37,709
1940-09-22,1940,38,514
1940-09-29,1940,39,653
1940-10-06,1940,40,758
1940-10-13,1940,41,839
1940-10-20,1940,42,926
1940-10-27,1940,43,1040
1940-11-03,1940,44,851
1940-11-10,1940,45,1311
1940-11-17,1940,46,1466
1940-11-24,1940,47,3595
1940-12-01,1940,48,12221
1940-12-08,1940,49,35649
1940-12-15,1940,50,54347
1940-12-22,1940,51,51222
1940-12-29,1940,52,95699
1941-01-05,1941,1,98986
1941-01-12,1941,2,128634
1941-01-19,1941,3,104476
1941-01-26,1941,4,78502
1941-02-02,1941,5,38241
1941-02-09,1941,6,23668
1941-02-16,1941,7,907
1941-02-23,1941,8,12506
1941-03-02,1941,9,8877
1941-03-09,1941,10,6725
1941-03-16,1941,11,6247
1941-03-23,1941,12,7438
1941-03-30,1941,13,4400
1941-04-06,1941,14,3612
1941-04-13,1941,15,3331
1941-04-20,1941,16,3064
1941-04-27,1941,17,2170
1941-05-04,1941,18,1548
1941-05-11,1941,19,1437
1941-05-18,1941,20,1533
1941-05-25,1941,21,2149
1941-06-01,1941,22,1415
1941-06-08,1941,23,874
1941-06-15,1941,24,1500
1941-06-22,1941,25,930
1941-06-29,1941,26,639
1941-07-06,1941,27,644
1941-07-13,1941,28,593
1941-07-20,1941,29,832
1941-07-27,1941,30,698
1941-08-03,1941,31,760
1941-08-10,1941,32,652
1941-08-17,1941,33,578
1941-08-24,1941,34,525
1941-08-31,1941,35,797
1941-09-07,1941,36,933
1941-09-14,1941,37,726
1941-09-21,1941,38,898
1941-09-28,1941,39,1055
1941-10-05,1941,40,1069
1941-10-12,1941,41,1194
1941-10-19,1941,42,1406
1941-10-26,1941,43,1682
1941-11-02,1941,44,2468
1941-11-09,1941,45,2571
1941-11-16,1941,46,2675
1941-11-23,1941,47,2710
1941-11-30,1941,48,3007
1941-12-07,1941,49,3262
1941-12-14,1941,50,2884
1941-12-21,1941,51,2810
1941-12-28,1941,52,3299
1942-01-04,1942,1,4061
1942-01-11,1942,2,4199
1942-01-18,1942,3,4649
1942-01-25,1942,4,5356
1942-02-01,1942,5,5876
1942-02-08,1942,6,5344
1942-02-15,1942,7,5650
1942-02-22,1942,8,6279
1942-03-01,1942,9,5763
1942-03-08,1942,10,5352
1942-03-15,1942,11,4759
1942-03-22,1942,12,3948
1942-03-29,1942,13,3801
1942-04-05,1942,14,3181
1942-04-12,1942,15,2809
1942-04-19,1942,16,2257
1942-04-26,1942,17,1819
1942-05-03,1942,18,1402
1942-05-10,1942,19,1086
1942-05-17,1942,20,1192
1942-05-24,1942,21,885
1942-05-31,1942,22,793
1942-06-07,1942,23,646
1942-06-14,1942,24,681
1942-06-21,1942,25,500
1942-06-28,1942,26,398
1942-07-05,1942,27,457
1942-07-12,1942,28,478
1942-07-19,1942,29,357
1942-07-26,1942,30,393
1942-08-02,1942,31,363
1942-08-09,1942,32,405
1942-08-16,1942,33,429
1942-08-23,1942,34,514
1942-08-30,1942,35,422
1942-09-06,1942,36,754
1942-09-13,1942,37,754
1942-09-20,1942,38,795
1942-09-27,1942,39,1020
1942-10-04,1942,40,1174
1942-10-11,1942,41,1434
1942-10-18,1942,42,1224
1942-10-25,1942,43,1433
1942-11-01,1942,44,1674
1942-11-08,1942,45,1696
1942-11-15,1942,46,1883
1942-11-22,1942,47,1997
1942-11-29,1942,48,2054
1942-12-06,1942,49,2758
1942-12-13,1942,50,2567
1942-12-20,1942,51,2415
1942-12-27,1942,52,3659
1943-01-03,1943,1,4149
1943-01-10,1943,2,4643
1943-01-17,1943,3,4613
1943-01-24,1943,4,5173
1943-01-31,1943,5,4562
1943-02-07,1943,6,5648
1943-02-14,1943,7,4428
1943-02-21,1943,8,5389
1943-02-28,1943,9,4529
1943-03-07,1943,10,5079
1943-03-14,1943,11,4823
1943-03-21,1943,12,4166
1943-03-28,1943,13,3661
1943-04-04,1943,14,3441
1943-04-11,1943,15,3368
1943-04-18,1943,16,2456
1943-04-25,1943,17,2137
1943-05-02,1943,18,1819
1943-05-09,1943,19,1158
1943-05-16,1943,20,1559
1943-05-23,1943,21,1162
1943-05-30,1943,22,1086
1943-06-06,1943,23,827
1943-06-13,1943,24,786
1943-06-20,1943,25,655
1943-06-27,1943,26,746
1943-07-04,1943,27,696
1943-07-11,1943,28,676
1943-07-18,1943,29,616
1943-07-25,1943,30,625
1943-08-01,1943,31,635
1943-08-08,1943,32,504
1943-08-15,1943,33,527
1943-08-22,1943,34,607
1943-08-29,1943,35,595
1943-09-05,1943,36,611
